Census year,CLUE small area,ANZSIC indusrty,CLUE industry,Business size,Total establishments,Total jobs
2007,West Melbourne (Residential),"Transport, Postal and Warehousing","Transport, Postal and Storage",Small business,20,132
2006,Carlton,Accommodation and Food Services,Accommodation,Small business,17,102
2006,Carlton,Administrative and Support Services,Admin and Support Services,Non employing,1,
2006,Carlton,Arts and Recreation Services,Arts and Recreation Services,Medium business,4,207
2006,Carlton,Construction,Construction,Medium business,5,196
2006,Carlton,Education and Training,Education and Training,Small business,37,278
2006,Carlton,Financial and Insurance Services,Finance and Insurance,Non employing,1,
2006,Carlton,Health Care and Social Assistance,Health Care and Social Assistance,Small business,86,495
2006,Carlton,Information Media and Telecommunications,Information Media and Telecommunications,Small business,16,107
2006,Carlton,"Professional, Scientific and Technical Services",Business Services,Small business,139,783
2006,Carlton,Public Administration and Safety,Public Administration and Safety,Medium business,9,510
2006,Carlton,Public Administration and Safety,Public Administration and Safety,Small business,9,31
2006,Carlton,"Rental, Hiring and Real Estate Services",Real Estate Services,Small business,18,100
2006,Carlton,"Rental, Hiring and Real Estate Services",Rental and Hiring Services,Small business,2,
2006,Carlton,Retail Trade,Retail Trade,Medium business,8,378
2006,Carlton,"Transport, Postal and Warehousing","Transport, Postal and Storage",Small business,7,39
2006,Carlton,Wholesale Trade,Wholesale Trade,Small business,24,101
2006,Docklands,Accommodation and Food Services,Food and Beverage Services,Large business,1,
2006,Docklands,Accommodation and Food Services,Accommodation,Medium business,2,
2006,Docklands,Accommodation and Food Services,Food and Beverage Services,Small business,77,661
2006,Docklands,Administrative and Support Services,Admin and Support Services,Non employing,1,
2006,Docklands,Education and Training,Education and Training,Medium business,1,
2006,Docklands,Education and Training,Education and Training,Small business,2,
2006,Docklands,Information Media and Telecommunications,Information Media and Telecommunications,Medium business,3,210
2006,Docklands,Information Media and Telecommunications,Information Media and Telecommunications,Small business,4,33
2006,Docklands,Manufacturing,Manufacturing,Non employing,2,
2006,Docklands,"Professional, Scientific and Technical Services",Business Services,Large business,1,
2006,Docklands,"Transport, Postal and Warehousing","Transport, Postal and Storage",Medium business,8,333
2006,Docklands,"Transport, Postal and Warehousing","Transport, Postal and Storage",Non employing,4,0
2006,East Melbourne,Accommodation and Food Services,Food and Beverage Services,Medium business,4,100
2006,East Melbourne,Administrative and Support Services,Admin and Support Services,Medium business,3,118
2006,East Melbourne,Arts and Recreation Services,Arts and Recreation Services,Small business,21,105
2006,East Melbourne,Education and Training,Education and Training,Medium business,10,681
2006,East Melbourne,Education and Training,Education and Training,Small business,5,53
2006,East Melbourne,Financial and Insurance Services,Finance and Insurance,Large business,1,
2006,East Melbourne,Health Care and Social Assistance,Health Care and Social Assistance,Large business,5,4338
2006,East Melbourne,Health Care and Social Assistance,Health Care and Social Assistance,Non employing,5,0
2006,East Melbourne,Information Media and Telecommunications,Information Media and Telecommunications,Medium business,3,185
2006,East Melbourne,Information Media and Telecommunications,Information Media and Telecommunications,Small business,7,57
2006,East Melbourne,Other Services,Other Services,Non employing,6,0
2006,East Melbourne,"Professional, Scientific and Technical Services",Business Services,Small business,67,581
2006,East Melbourne,Public Administration and Safety,Public Administration and Safety,Large business,6,3076
2006,East Melbourne,Public Administration and Safety,Public Administration and Safety,Medium business,7,553
2006,East Melbourne,"Transport, Postal and Warehousing","Transport, Postal and Storage",Medium business,1,
2006,East Melbourne,"Transport, Postal and Warehousing","Transport, Postal and Storage",Small business,2,
2006,Kensington,Administrative and Support Services,Admin and Support Services,Small business,2,
2006,Kensington,Arts and Recreation Services,Arts and Recreation Services,Medium business,7,275
2006,Kensington,Health Care and Social Assistance,Health Care and Social Assistance,Medium business,1,
2006,Kensington,Retail Trade,Retail Trade,Small business,11,95
2006,Kensington,"Transport, Postal and Warehousing","Transport, Postal and Storage",Small business,2,
2006,Kensington,Wholesale Trade,Wholesale Trade,Medium business,1,
2006,Melbourne (CBD),Administrative and Support Services,Admin and Support Services,Large business,3,2085
2006,Melbourne (CBD),Administrative and Support Services,Admin and Support Services,Medium business,83,3871
2006,Melbourne (CBD),Administrative and Support Services,Admin and Support Services,Non employing,1,
2006,Melbourne (CBD),"Agriculture, Forestry and Fishing",Agriculture and Mining,Medium business,1,
2006,Melbourne (CBD),Construction,Construction,Large business,2,
2006,Melbourne (CBD),Construction,Construction,Small business,60,425
2006,Melbourne (CBD),Education and Training,Education and Training,Medium business,63,3760
2006,Melbourne (CBD),Education and Training,Education and Training,Small business,131,905
2006,Melbourne (CBD),"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Medium business,8,667
2006,Melbourne (CBD),Financial and Insurance Services,Finance and Insurance,Small business,486,3360
2006,Melbourne (CBD),Information Media and Telecommunications,Information Media and Telecommunications,Large business,18,15238
2006,Melbourne (CBD),Information Media and Telecommunications,Information Media and Telecommunications,Non employing,11,0
2006,Melbourne (CBD),"Professional, Scientific and Technical Services",Business Services,Large business,33,16321
2006,Melbourne (CBD),Public Administration and Safety,Public Administration and Safety,Large business,26,16955
2006,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Real Estate Services,Medium business,25,1201
2006,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Real Estate Services,Non employing,6,0
2006,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Rental and Hiring Services,Non employing,1,
2006,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Real Estate Services,Small business,114,655
2006,Melbourne (CBD),Retail Trade,Retail Trade,Large business,6,3588
2006,Melbourne (CBD),"Transport, Postal and Warehousing","Transport, Postal and Storage",Large business,4,3450
2006,Melbourne (CBD),"Transport, Postal and Warehousing","Transport, Postal and Storage",Medium business,27,1819
2006,Melbourne (CBD),Wholesale Trade,Wholesale Trade,Medium business,8,345
2006,Melbourne (Remainder),Accommodation and Food Services,Accommodation,Medium business,1,
2006,Melbourne (Remainder),Accommodation and Food Services,Food and Beverage Services,Small business,18,129
2006,Melbourne (Remainder),Arts and Recreation Services,Arts and Recreation Services,Large business,4,3634
2006,Melbourne (Remainder),Education and Training,Education and Training,Small business,3,25
2006,Melbourne (Remainder),Financial and Insurance Services,Finance and Insurance,Large business,3,1584
2006,Melbourne (Remainder),Health Care and Social Assistance,Health Care and Social Assistance,Medium business,3,157
2006,Melbourne (Remainder),Manufacturing,Manufacturing,Medium business,1,
2006,Melbourne (Remainder),Mining,Agriculture and Mining,Medium business,1,
2006,Melbourne (Remainder),Other Services,Other Services,Small business,21,75
2006,Melbourne (Remainder),"Professional, Scientific and Technical Services",Business Services,Small business,61,466
2006,Melbourne (Remainder),Public Administration and Safety,Public Administration and Safety,Small business,5,25
2006,Melbourne (Remainder),"Transport, Postal and Warehousing","Transport, Postal and Storage",Large business,1,
2006,Melbourne (Remainder),Wholesale Trade,Wholesale Trade,Medium business,2,
2006,North Melbourne,Accommodation and Food Services,Accommodation,Medium business,1,
2006,North Melbourne,Accommodation and Food Services,Accommodation,Small business,8,66
2006,North Melbourne,Administrative and Support Services,Admin and Support Services,Small business,17,79
2006,North Melbourne,Arts and Recreation Services,Arts and Recreation Services,Small business,26,91
2006,North Melbourne,Construction,Construction,Non employing,1,
2006,North Melbourne,Education and Training,Education and Training,Small business,13,112
2006,North Melbourne,"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Non employing,20,0
2006,North Melbourne,Health Care and Social Assistance,Health Care and Social Assistance,Non employing,1,
2006,North Melbourne,Manufacturing,Manufacturing,Medium business,6,201
2006,North Melbourne,Mining,Agriculture and Mining,Small business,1,
2006,North Melbourne,Other Services,Other Services,Non employing,12,0
2006,North Melbourne,"Professional, Scientific and Technical Services",Business Services,Medium business,12,602
2006,North Melbourne,"Rental, Hiring and Real Estate Services",Rental and Hiring Services,Non employing,1,
2006,North Melbourne,"Rental, Hiring and Real Estate Services",Rental and Hiring Services,Small business,11,50
2006,North Melbourne,Retail Trade,Retail Trade,Medium business,2,
2006,North Melbourne,Retail Trade,Retail Trade,Non employing,2,
2006,North Melbourne,"Transport, Postal and Warehousing","Transport, Postal and Storage",Medium business,5,150
2006,Parkville,Accommodation and Food Services,Accommodation,Small business,10,84
2006,Parkville,"Agriculture, Forestry and Fishing",Agriculture and Mining,Medium business,1,
2006,Parkville,Arts and Recreation Services,Arts and Recreation Services,Small business,3,28
2006,Parkville,Education and Training,Education and Training,Medium business,6,390
2006,Parkville,Education and Training,Education and Training,Small business,5,49
2006,Parkville,Financial and Insurance Services,Finance and Insurance,Small business,5,44
2006,Parkville,Health Care and Social Assistance,Health Care and Social Assistance,Medium business,2,
2006,Parkville,Health Care and Social Assistance,Health Care and Social Assistance,Non employing,1,
2006,Parkville,Information Media and Telecommunications,Information Media and Telecommunications,Non employing,2,
2006,Parkville,Other Services,Other Services,Non employing,3,0
2006,Parkville,Other Services,Other Services,Small business,19,121
2006,Parkville,"Professional, Scientific and Technical Services",Business Services,Large business,1,
2006,Parkville,"Professional, Scientific and Technical Services",Business Services,Medium business,3,330
2006,Parkville,Public Administration and Safety,Public Administration and Safety,Large business,1,
2006,Parkville,"Rental, Hiring and Real Estate Services",Real Estate Services,Medium business,1,
2006,Parkville,"Transport, Postal and Warehousing","Transport, Postal and Storage",Small business,3,13
2006,Port Melbourne,Accommodation and Food Services,Food and Beverage Services,Small business,6,26
2006,Port Melbourne,Construction,Construction,Medium business,6,148
2006,Port Melbourne,Education and Training,Education and Training,Small business,2,
2006,Port Melbourne,Information Media and Telecommunications,Information Media and Telecommunications,Large business,1,
2006,Port Melbourne,Information Media and Telecommunications,Information Media and Telecommunications,Small business,16,111
2006,Port Melbourne,Manufacturing,Manufacturing,Medium business,15,904
2006,Port Melbourne,Mining,Agriculture and Mining,Small business,2,
2006,Port Melbourne,Other Services,Other Services,Medium business,1,
2006,Port Melbourne,Other Services,Other Services,Small business,6,36
2006,Port Melbourne,"Professional, Scientific and Technical Services",Business Services,Medium business,12,595
2006,Port Melbourne,"Rental, Hiring and Real Estate Services",Real Estate Services,Medium business,1,
2006,Port Melbourne,"Rental, Hiring and Real Estate Services",Rental and Hiring Services,Small business,2,
2006,Port Melbourne,Retail Trade,Retail Trade,Small business,19,172
2006,Port Melbourne,"Transport, Postal and Warehousing","Transport, Postal and Storage",Large business,2,
2006,Port Melbourne,Wholesale Trade,Wholesale Trade,Large business,3,870
2006,South Yarra,Accommodation and Food Services,Food and Beverage Services,Medium business,4,94
2006,South Yarra,Arts and Recreation Services,Arts and Recreation Services,Non employing,5,0
2006,South Yarra,Education and Training,Education and Training,Medium business,3,243
2006,South Yarra,"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Non employing,5,0
2006,South Yarra,Health Care and Social Assistance,Health Care and Social Assistance,Small business,3,19
2006,South Yarra,Other Services,Other Services,Small business,9,41
2006,South Yarra,Public Administration and Safety,Public Administration and Safety,Medium business,1,
2006,South Yarra,Retail Trade,Retail Trade,Small business,10,38
2006,Southbank,Accommodation and Food Services,Accommodation,Medium business,4,275
2006,Southbank,Accommodation and Food Services,Accommodation,Small business,3,36
2006,Southbank,"Agriculture, Forestry and Fishing",Agriculture and Mining,Small business,1,
2006,Southbank,Arts and Recreation Services,Arts and Recreation Services,Large business,5,10687
2006,Southbank,Arts and Recreation Services,Arts and Recreation Services,Medium business,10,527
2006,Southbank,Arts and Recreation Services,Arts and Recreation Services,Non employing,9,0
2006,Southbank,Financial and Insurance Services,Finance and Insurance,Non employing,1,
2006,Southbank,Health Care and Social Assistance,Health Care and Social Assistance,Small business,15,64
2006,Southbank,Information Media and Telecommunications,Information Media and Telecommunications,Large business,5,2126
2006,Southbank,Information Media and Telecommunications,Information Media and Telecommunications,Medium business,22,1571
2006,Southbank,Manufacturing,Manufacturing,Large business,3,2605
2006,Southbank,Other Services,Other Services,Medium business,4,133
2006,Southbank,"Professional, Scientific and Technical Services",Business Services,Medium business,35,2022
2006,Southbank,Public Administration and Safety,Public Administration and Safety,Large business,2,
2006,Southbank,Public Administration and Safety,Public Administration and Safety,Medium business,7,338
2006,Southbank,"Rental, Hiring and Real Estate Services",Rental and Hiring Services,Large business,1,
2006,Southbank,"Rental, Hiring and Real Estate Services",Rental and Hiring Services,Non employing,1,
2006,Southbank,"Rental, Hiring and Real Estate Services",Rental and Hiring Services,Small business,6,34
2006,Southbank,Retail Trade,Retail Trade,Medium business,5,315
2006,Southbank,Wholesale Trade,Wholesale Trade,Medium business,3,120
2006,Southbank,Wholesale Trade,Wholesale Trade,Small business,13,80
2006,West Melbourne (Industrial),Administrative and Support Services,Admin and Support Services,Small business,3,8
2006,West Melbourne (Industrial),Arts and Recreation Services,Arts and Recreation Services,Non employing,7,0
2006,West Melbourne (Industrial),"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Non employing,7,0
2006,West Melbourne (Industrial),Financial and Insurance Services,Finance and Insurance,Small business,1,
2006,West Melbourne (Industrial),Information Media and Telecommunications,Information Media and Telecommunications,Small business,3,6
2006,West Melbourne (Industrial),Other Services,Other Services,Medium business,2,
2006,West Melbourne (Industrial),"Professional, Scientific and Technical Services",Business Services,Small business,3,13
2006,West Melbourne (Industrial),Public Administration and Safety,Public Administration and Safety,Small business,4,31
2006,West Melbourne (Industrial),"Transport, Postal and Warehousing","Transport, Postal and Storage",Medium business,24,1603
2006,West Melbourne (Industrial),Wholesale Trade,Wholesale Trade,Small business,201,1342
2006,West Melbourne (Residential),Accommodation and Food Services,Food and Beverage Services,Medium business,1,
2006,West Melbourne (Residential),Accommodation and Food Services,Food and Beverage Services,Non employing,1,
2006,West Melbourne (Residential),Arts and Recreation Services,Arts and Recreation Services,Medium business,2,
2006,West Melbourne (Residential),Education and Training,Education and Training,Small business,6,52
2006,West Melbourne (Residential),"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Non employing,8,0
2006,West Melbourne (Residential),Financial and Insurance Services,Finance and Insurance,Small business,12,59
2006,West Melbourne (Residential),Health Care and Social Assistance,Health Care and Social Assistance,Medium business,4,217
2006,West Melbourne (Residential),Information Media and Telecommunications,Information Media and Telecommunications,Small business,19,112
2006,West Melbourne (Residential),Manufacturing,Manufacturing,Medium business,5,169
2006,West Melbourne (Residential),Other Services,Other Services,Medium business,4,136
2006,West Melbourne (Residential),Other Services,Other Services,Non employing,5,0
2006,West Melbourne (Residential),"Professional, Scientific and Technical Services",Business Services,Small business,72,354
2006,West Melbourne (Residential),Public Administration and Safety,Public Administration and Safety,Large business,1,
2006,West Melbourne (Residential),Public Administration and Safety,Public Administration and Safety,Medium business,3,144
2006,West Melbourne (Residential),"Rental, Hiring and Real Estate Services",Real Estate Services,Small business,3,28
2006,West Melbourne (Residential),Retail Trade,Retail Trade,Medium business,3,222
2006,West Melbourne (Residential),Retail Trade,Retail Trade,Non employing,1,
2006,West Melbourne (Residential),"Transport, Postal and Warehousing","Transport, Postal and Storage",Non employing,3,0
2006,West Melbourne (Residential),"Transport, Postal and Warehousing","Transport, Postal and Storage",Small business,21,127
2006,West Melbourne (Residential),Wholesale Trade,Wholesale Trade,Small business,44,227
2005,Carlton,Accommodation and Food Services,Food and Beverage Services,Medium business,18,558
2005,Carlton,Accommodation and Food Services,Food and Beverage Services,Non employing,2,
2005,Carlton,Administrative and Support Services,Admin and Support Services,Medium business,4,105
2005,Carlton,Administrative and Support Services,Admin and Support Services,Non employing,1,
2005,Carlton,Arts and Recreation Services,Arts and Recreation Services,Non employing,17,0
2005,Carlton,Construction,Construction,Non employing,1,
2005,Carlton,Construction,Construction,Small business,6,35
2005,Carlton,Education and Training,Education and Training,Medium business,19,1176
2005,Carlton,Education and Training,Education and Training,Non employing,4,0
2005,Carlton,"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Non employing,16,0
2005,Carlton,Financial and Insurance Services,Finance and Insurance,Medium business,7,352
2005,Carlton,Health Care and Social Assistance,Health Care and Social Assistance,Small business,86,495
2005,Carlton,"Professional, Scientific and Technical Services",Business Services,Non employing,3,0
2005,Carlton,Public Administration and Safety,Public Administration and Safety,Small business,9,31
2005,Carlton,"Rental, Hiring and Real Estate Services",Real Estate Services,Small business,18,100
2005,Carlton,"Transport, Postal and Warehousing","Transport, Postal and Storage",Non employing,3,0
2005,Carlton,Wholesale Trade,Wholesale Trade,Small business,24,101
2005,Docklands,Administrative and Support Services,Admin and Support Services,Small business,13,78
2005,Docklands,"Agriculture, Forestry and Fishing",Agriculture and Mining,Small business,2,
2005,Docklands,Arts and Recreation Services,Arts and Recreation Services,Large business,1,
2005,Docklands,Construction,Construction,Non employing,1,
2005,Docklands,Financial and Insurance Services,Finance and Insurance,Medium business,1,
2005,Docklands,Information Media and Telecommunications,Information Media and Telecommunications,Large business,2,
2005,Docklands,Information Media and Telecommunications,Information Media and Telecommunications,Medium business,3,210
2005,Docklands,Manufacturing,Manufacturing,Medium business,1,
2005,Docklands,Manufacturing,Manufacturing,Non employing,2,
2005,Docklands,Other Services,Other Services,Non employing,13,0
2005,Docklands,"Professional, Scientific and Technical Services",Business Services,Large business,1,
2005,Docklands,Public Administration and Safety,Public Administration and Safety,Large business,2,
2005,Docklands,Public Administration and Safety,Public Administration and Safety,Medium business,3,303
2005,Docklands,Public Administration and Safety,Public Administration and Safety,Small business,4,32
2005,Docklands,"Rental, Hiring and Real Estate Services",Real Estate Services,Small business,12,70
2005,Docklands,"Transport, Postal and Warehousing","Transport, Postal and Storage",Small business,24,155
2005,East Melbourne,Accommodation and Food Services,Accommodation,Medium business,2,
2005,East Melbourne,Accommodation and Food Services,Accommodation,Non employing,3,0
2005,East Melbourne,Administrative and Support Services,Admin and Support Services,Medium business,3,118
2005,East Melbourne,Arts and Recreation Services,Arts and Recreation Services,Large business,1,
2005,East Melbourne,Financial and Insurance Services,Finance and Insurance,Medium business,5,445
2005,East Melbourne,Financial and Insurance Services,Finance and Insurance,Small business,5,34
2005,East Melbourne,Health Care and Social Assistance,Health Care and Social Assistance,Large business,5,4338
2005,East Melbourne,Health Care and Social Assistance,Health Care and Social Assistance,Medium business,10,488
2005,East Melbourne,Health Care and Social Assistance,Health Care and Social Assistance,Non employing,5,0
2005,East Melbourne,Manufacturing,Manufacturing,Medium business,1,
2005,East Melbourne,Other Services,Other Services,Medium business,6,366
2005,East Melbourne,"Professional, Scientific and Technical Services",Business Services,Large business,1,
2005,East Melbourne,"Professional, Scientific and Technical Services",Business Services,Small business,67,581
2005,East Melbourne,Public Administration and Safety,Public Administration and Safety,Medium business,7,553
2005,East Melbourne,Retail Trade,Retail Trade,Non employing,2,
2005,East Melbourne,Retail Trade,Retail Trade,Small business,16,69
2005,East Melbourne,Wholesale Trade,Wholesale Trade,Small business,5,34
2005,Kensington,Accommodation and Food Services,Food and Beverage Services,Small business,9,40
2005,Kensington,Administrative and Support Services,Admin and Support Services,Small business,2,
2005,Kensington,Arts and Recreation Services,Arts and Recreation Services,Non employing,40,0
2005,Kensington,Construction,Construction,Medium business,1,
2005,Kensington,Construction,Construction,Small business,1,
2005,Kensington,"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Non employing,5,0
2005,Kensington,Financial and Insurance Services,Finance and Insurance,Small business,2,
2005,Kensington,Health Care and Social Assistance,Health Care and Social Assistance,Medium business,2,
2005,Kensington,Manufacturing,Manufacturing,Medium business,9,373
2005,Kensington,"Professional, Scientific and Technical Services",Business Services,Medium business,1,
2005,Kensington,Public Administration and Safety,Public Administration and Safety,Small business,2,
2005,Kensington,Retail Trade,Retail Trade,Small business,7,40
2005,Kensington,"Transport, Postal and Warehousing","Transport, Postal and Storage",Non employing,1,
2005,Kensington,Wholesale Trade,Wholesale Trade,Medium business,1,
2005,Kensington,Wholesale Trade,Wholesale Trade,Small business,16,125
2005,Melbourne (CBD),Accommodation and Food Services,Food and Beverage Services,Large business,1,
2005,Melbourne (CBD),Accommodation and Food Services,Accommodation,Non employing,2,
2005,Melbourne (CBD),Accommodation and Food Services,Food and Beverage Services,Non employing,5,0
2005,Melbourne (CBD),Accommodation and Food Services,Accommodation,Small business,48,453
2005,Melbourne (CBD),Administrative and Support Services,Admin and Support Services,Medium business,81,3680
2005,Melbourne (CBD),Administrative and Support Services,Admin and Support Services,Non employing,4,0
2005,Melbourne (CBD),"Agriculture, Forestry and Fishing",Agriculture and Mining,Medium business,2,
2005,Melbourne (CBD),"Agriculture, Forestry and Fishing",Agriculture and Mining,Small business,7,13
2005,Melbourne (CBD),Arts and Recreation Services,Arts and Recreation Services,Medium business,19,1271
2005,Melbourne (CBD),Arts and Recreation Services,Arts and Recreation Services,Small business,71,367
2005,Melbourne (CBD),Education and Training,Education and Training,Non employing,4,0
2005,Melbourne (CBD),Education and Training,Education and Training,Small business,122,821
2005,Melbourne (CBD),"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Medium business,6,364
2005,Melbourne (CBD),"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Non employing,33,0
2005,Melbourne (CBD),Financial and Insurance Services,Finance and Insurance,Medium business,139,7582
2005,Melbourne (CBD),Financial and Insurance Services,Finance and Insurance,Non employing,1,
2005,Melbourne (CBD),Health Care and Social Assistance,Health Care and Social Assistance,Medium business,21,813
2005,Melbourne (CBD),Health Care and Social Assistance,Health Care and Social Assistance,Small business,331,1634
2005,Melbourne (CBD),Other Services,Other Services,Non employing,35,0
2005,Melbourne (CBD),"Professional, Scientific and Technical Services",Business Services,Small business,1211,7184
2005,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Rental and Hiring Services,Medium business,1,
2005,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Rental and Hiring Services,Small business,18,97
2005,Melbourne (CBD),Retail Trade,Retail Trade,Non employing,13,0
2005,Melbourne (CBD),Wholesale Trade,Wholesale Trade,Medium business,7,305
2005,Melbourne (CBD),Wholesale Trade,Wholesale Trade,Small business,128,517
2005,Melbourne (Remainder),Accommodation and Food Services,Food and Beverage Services,Large business,1,
2005,Melbourne (Remainder),Accommodation and Food Services,Accommodation,Small business,1,
2005,Melbourne (Remainder),Accommodation and Food Services,Food and Beverage Services,Small business,20,113
2005,Melbourne (Remainder),Arts and Recreation Services,Arts and Recreation Services,Large business,2,
2005,Melbourne (Remainder),Arts and Recreation Services,Arts and Recreation Services,Non employing,21,0
2005,Melbourne (Remainder),Construction,Construction,Small business,5,40
2005,Melbourne (Remainder),Education and Training,Education and Training,Small business,2,
2005,Melbourne (Remainder),"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Non employing,3,0
2005,Melbourne (Remainder),Financial and Insurance Services,Finance and Insurance,Large business,3,1394
2005,Melbourne (Remainder),Financial and Insurance Services,Finance and Insurance,Small business,18,108
2005,Melbourne (Remainder),Health Care and Social Assistance,Health Care and Social Assistance,Medium business,4,242
2005,Melbourne (Remainder),Manufacturing,Manufacturing,Small business,5,30
2005,Melbourne (Remainder),Mining,Agriculture and Mining,Small business,2,
2005,Melbourne (Remainder),Other Services,Other Services,Non employing,7,0
2005,Melbourne (Remainder),Public Administration and Safety,Public Administration and Safety,Small business,2,
2005,Melbourne (Remainder),"Rental, Hiring and Real Estate Services",Real Estate Services,Small business,7,41
2005,Melbourne (Remainder),Retail Trade,Retail Trade,Non employing,1,
2005,North Melbourne,Accommodation and Food Services,Accommodation,Medium business,1,
2005,North Melbourne,Accommodation and Food Services,Food and Beverage Services,Non employing,2,
2005,North Melbourne,Accommodation and Food Services,Accommodation,Small business,8,66
2005,North Melbourne,Accommodation and Food Services,Food and Beverage Services,Small business,82,421
2005,North Melbourne,Arts and Recreation Services,Arts and Recreation Services,Small business,26,91
2005,North Melbourne,"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Medium business,1,
2005,North Melbourne,Financial and Insurance Services,Finance and Insurance,Medium business,2,
2005,North Melbourne,Health Care and Social Assistance,Health Care and Social Assistance,Medium business,5,313
2005,North Melbourne,"Professional, Scientific and Technical Services",Business Services,Small business,122,550
2005,North Melbourne,Public Administration and Safety,Public Administration and Safety,Small business,3,18
2005,North Melbourne,Retail Trade,Retail Trade,Non employing,2,
2005,North Melbourne,Wholesale Trade,Wholesale Trade,Non employing,2,
2005,Parkville,Accommodation and Food Services,Food and Beverage Services,Medium business,5,214
2005,Parkville,Arts and Recreation Services,Arts and Recreation Services,Non employing,14,0
2005,Parkville,Arts and Recreation Services,Arts and Recreation Services,Small business,3,28
2005,Parkville,Education and Training,Education and Training,Small business,5,49
2005,Parkville,Health Care and Social Assistance,Health Care and Social Assistance,Large business,5,9757
2005,Parkville,Health Care and Social Assistance,Health Care and Social Assistance,Non employing,1,
2005,Parkville,Health Care and Social Assistance,Health Care and Social Assistance,Small business,35,182
2005,Parkville,Information Media and Telecommunications,Information Media and Telecommunications,Non employing,2,
2005,Parkville,Manufacturing,Manufacturing,Large business,1,
2005,Parkville,Manufacturing,Manufacturing,Small business,1,
2005,Parkville,Other Services,Other Services,Non employing,3,0
2005,Parkville,"Professional, Scientific and Technical Services",Business Services,Large business,1,
2005,Parkville,"Professional, Scientific and Technical Services",Business Services,Medium business,3,330
2005,Parkville,Public Administration and Safety,Public Administration and Safety,Large business,1,
2005,Port Melbourne,Accommodation and Food Services,Food and Beverage Services,Small business,4,26
2005,Port Melbourne,Administrative and Support Services,Admin and Support Services,Large business,1,
2005,Port Melbourne,Administrative and Support Services,Admin and Support Services,Small business,9,66
2005,Port Melbourne,Arts and Recreation Services,Arts and Recreation Services,Non employing,5,0
2005,Port Melbourne,Arts and Recreation Services,Arts and Recreation Services,Small business,2,
2005,Port Melbourne,Financial and Insurance Services,Finance and Insurance,Small business,3,14
2005,Port Melbourne,Information Media and Telecommunications,Information Media and Telecommunications,Large business,1,
2005,Port Melbourne,Information Media and Telecommunications,Information Media and Telecommunications,Non employing,1,
2005,Port Melbourne,Information Media and Telecommunications,Information Media and Telecommunications,Small business,8,59
2005,Port Melbourne,Mining,Agriculture and Mining,Small business,1,
2005,Port Melbourne,Other Services,Other Services,Medium business,2,
2005,Port Melbourne,"Professional, Scientific and Technical Services",Business Services,Medium business,11,584
2005,Port Melbourne,"Professional, Scientific and Technical Services",Business Services,Small business,23,185
2005,Port Melbourne,Public Administration and Safety,Public Administration and Safety,Large business,1,
2005,Port Melbourne,Retail Trade,Retail Trade,Medium business,2,
2005,Port Melbourne,"Transport, Postal and Warehousing","Transport, Postal and Storage",Non employing,3,0
2005,Port Melbourne,"Transport, Postal and Warehousing","Transport, Postal and Storage",Small business,13,115
2005,Port Melbourne,Wholesale Trade,Wholesale Trade,Large business,3,857
2005,Port Melbourne,Wholesale Trade,Wholesale Trade,Medium business,13,528
2005,South Yarra,Accommodation and Food Services,Accommodation,Small business,8,39
2005,South Yarra,Accommodation and Food Services,Food and Beverage Services,Small business,4,35
2005,South Yarra,Arts and Recreation Services,Arts and Recreation Services,Non employing,4,0
2005,South Yarra,Education and Training,Education and Training,Non employing,3,0
2005,South Yarra,"Electricity, Gas, Water and Waste Services","Electricity, Gas, Water and Waste Services",Non employing,6,0
2005,South Yarra,Other Services,Other Services,Non employing,1,
2005,South Yarra,"Professional, Scientific and Technical Services",Business Services,Small business,3,9
2005,Southbank,Accommodation and Food Services,Food and Beverage Services,Small business,56,476
2005,Southbank,Administrative and Support Services,Admin and Support Services,Medium business,6,206
2005,Southbank,Administrative and Support Services,Admin and Support Services,Small business,13,70
2005,Southbank,"Agriculture, Forestry and Fishing",Agriculture and Mining,Medium business,2,
2005,Southbank,Construction,Construction,Medium business,4,202
2005,Southbank,Education and Training,Education and Training,Large business,2,
2005,Southbank,Education and Training,Education and Training,Medium business,3,179
2005,Southbank,Financial and Insurance Services,Finance and Insurance,Small business,9,50
2005,Southbank,Health Care and Social Assistance,Health Care and Social Assistance,Large business,1,
